Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,RxDtcsCode,CrossMode,Mode,TStep,Skip,Power,Comment,URCALL,RPT1CALL,RPT2CALL,DVCODE
54,Garner Svcs 2,453.325,split,458.325,,88.5,88.5,23,NN,23,Tone->Tone,DMR,5,,50W,Services,,,,
55,HSprngs PubWorks,453.1,split,458.1,,88.5,88.5,23,NN,23,Tone->Tone,NFM,5,,50W,Public Works,,,,
56,HSprngs Elem Sch,466.9125,,0.6,,88.5,88.5,23,NN,23,Tone->Tone,NFM,5,,50W,Holly Ridge Elementary School,,,,
57,HSprngs Fire/EMS,151.16,split,153.785,,88.5,88.5,23,NN,23,Tone->Tone,NFM,5,,50W,Fire/EMS: Dispatch,,,,
58,LENOVO MOR,451.2625,split,456.2625,,88.5,88.5,23,NN,23,Tone->Tone,DMR,5,,50W,Lenovo Morrisville Plant,,,,
59,NCSU CE 1,461.075,split,466.075,,88.5,88.5,23,NN,23,Tone->Tone,DMR,5,,50W,Campus Enterprises,,,,
60,NCSU CE 2,461.075,split,466.075,,88.5,88.5,23,NN,23,Tone->Tone,DMR,5,,50W,Campus Enterprises,,,,
61,DH Hill Library,461.9875,split,466.9875,TSQL,100,100,23,NN,23,Tone->Tone,NFM,5,,50W,DH Hill Library,,,,
62,NCSU Fac 462.175,462.175,split,467.175,TSQL,88.5,88.5,23,NN,23,Tone->Tone,NFM,5,,50W,Facilities Maintenance,,,,
63,NCSU Fac 451.3,451.3,split,456.3,TSQL,88.5,88.5,23,NN,23,Tone->Tone,NFM,5,,50W,Facilities Maintenance,,,,
64,NCSU Fac 460.9,460.9,split,465.9,TSQL,88.5,88.5,23,NN,23,Tone->Tone,NFM,5,,50W,Facilities Maintenance,,,,
65,NCSU Fac 464.4,464.4,split,469.4,TSQL,88.5,88.5,23,NN,23,Tone->Tone,NFM,5,,50W,Facilities Maintenance,,,,
66,NCSU Fac 464.65,464.65,split,469.65,TSQL,88.5,88.5,23,NN,23,Tone->Tone,NFM,5,,50W,Facilities Maintenance,,,,
67,Carmichael Gym,159.195,split,153.965,TSQL,103.5,103.5,23,NN,23,Tone->Tone,NFM,5,,50W,Carmichael Gym,,,,
68,McKimmon Center,463.8,split,468.8,DTCS,88.5,88.5,331,NN,331,Tone->Tone,NFM,5,,50W,McKimmon Center,,,,
69,NCSU Sirens,154.65,,0.6,TSQL,186.2,186.2,23,NN,23,Tone->Tone,NFM,5,,50W,Sirens,,,,
70,Shaw U Security,452.75,split,457.75,,88.5,88.5,23,NN,23,Tone->Tone,DMR,5,,50W,Security,,,,
71,RDU Unicom,122.95,,0.6,,88.5,88.5,23,NN,23,Tone->Tone,AM,5,,50W,RDU Unicom,,,,
72,RDU ATIS,123.8,,0.6,,88.5,88.5,23,NN,23,Tone->Tone,AM,5,,50W,RDU ATIS,,,,
73,RDU ASOS,123.8,,0.6,,88.5,88.5,23,NN,23,Tone->Tone,AM,5,,50W,RDU ASOS,,,,
74,RDU CLERNCE,120.1,,0.6,,88.5,88.5,23,NN,23,Tone->Tone,AM,5,,50W,RDU Clearance Delivery,,,,
75,RDU RADAR,134.3,,0.6,,88.5,88.5,23,NN,23,Tone->Tone,AM,5,,50W,RDU Radar,,,,
76,RDU EMERG,121.5,,0.6,,88.5,88.5,23,NN,23,Tone->Tone,AM,5,,50W,RDU Emergency,,,,
77,RDU FINAL,124.8,,0.6,,88.5,88.5,23,NN,23,Tone->Tone,AM,5,,50W,RDU Final Ctl,,,,
78,RDU FINAL,395,,0.6,,88.5,88.5,23,NN,23,Tone->Tone,AM,5,,50W,RDU Final Ctl,,,,
79,RDU IC,128.3,,0.6,,88.5,88.5,23,NN,23,Tone->Tone,AM,5,,50W,RDU IC (230-024),,,,
80,RDU IC,307.9,,0.6,,88.5,88.5,23,NN,23,Tone->Tone,AM,5,,50W,RDU IC (230-024),,,,
81,RDUATIS,123.8,,0.6,,88.5,88.5,23,NN,23,Tone->Tone,AM,5,,50W,ATIS/WX ASOS,,,,
